Date & Time,Charleville Mall,Charleville Mall Cyclist IN,Charleville Mall Cyclist OUT,Drumcondra Cyclists 1,Drumcondra Cyclists 1 Cyclist IN,Drumcondra Cyclists 1 Cyclist OUT,Drumcondra Cyclists 2,Drumcondra Cyclists 2 Cyclist IN,Drumcondra Cyclists 2 Cyclist OUT,Grove Road Totem,Grove Road Totem OUT,Grove Road Totem IN,North Strand Rd N/B,North Strand Rd S/B,Richmond Street Cyclists 1,Richmond Street Cyclists 1 Cyclist IN,Richmond Street Cyclists 1 Cyclist OUT,Richmond Street Cyclists 2 ,Richmond Street Cyclists 2  Cyclist IN,Richmond Street Cyclists 2  Cyclist OUT
01-01-2021 00:00:00,0,0,0,3,0,3,0,0,0,5,4,1,2,0,6,0,6,3,0,3
01-01-2021 01:00:00,0,0,0,2,0,2,1,1,0,4,2,2,1,0,1,0,1,1,0,1
01-01-2021 02:00:00,0,0,0,1,0,1,1,1,0,7,5,2,0,0,2,0,2,3,0,3
01-01-2021 03:00:00,0,0,0,1,0,1,0,0,0,5,3,2,0,0,1,0,1,3,0,3
01-01-2021 04:00:00,3,3,0,2,0,2,0,0,0,6,6,0,0,2,4,0,4,1,0,1
01-01-2021 05:00:00,0,0,0,1,0,1,0,0,0,1,0,1,1,1,2,0,2,0,0,0
01-01-2021 06:00:00,0,0,0,1,0,1,1,1,0,7,2,5,3,3,4,0,4,4,0,4
01-01-2021 07:00:00,1,1,0,8,0,8,2,2,0,15,4,11,5,7,6,0,6,9,0,9
01-01-2021 08:00:00,0,0,0,5,0,5,2,2,0,16,5,11,7,7,4,0,4,4,0,4
01-01-2021 09:00:00,2,2,0,12,0,12,6,6,0,26,8,18,4,5,6,0,6,8,0,8
01-01-2021 10:00:00,0,0,0,4,0,4,4,4,0,34,15,19,7,7,4,0,4,16,1,15
01-01-2021 11:00:00,5,5,0,13,1,12,6,6,0,51,13,38,27,17,6,0,6,10,0,10
01-01-2021 12:00:00,5,4,1,19,1,18,3,3,0,64,24,40,34,15,31,0,31,29,0,29
01-01-2021 13:00:00,8,5,3,25,0,25,3,3,0,84,34,50,48,6,48,0,48,49,0,49
01-01-2021 14:00:00,12,7,5,19,0,19,3,3,0,106,45,61,37,22,48,0,48,55,0,55
01-01-2021 15:00:00,16,8,8,26,0,26,1,1,0,105,49,56,38,36,63,0,63,49,0,49
