Date and Time,Grove Road Totem,North Strand Rd S/B,North Strand Rd N/B,Charleville Mall,Guild Street
01-01-2019 00:00:00,12,4,16,1,5
01-01-2019 01:00:00,17,8,14,1,6
01-01-2019 02:00:00,18,9,9,2,2
01-01-2019 03:00:00,18,5,15,1,3
01-01-2019 04:00:00,12,3,8,1,5
01-01-2019 05:00:00,15,4,9,4,5
01-01-2019 06:00:00,9,12,9,6,6
01-01-2019 07:00:00,24,9,9,1,12
01-01-2019 08:00:00,28,11,11,0,12
01-01-2019 09:00:00,25,13,10,1,13
01-01-2019 10:00:00,26,27,12,3,9
01-01-2019 11:00:00,38,20,18,1,13
01-01-2019 12:00:00,35,12,21,0,18
01-01-2019 13:00:00,39,17,31,1,15
01-01-2019 14:00:00,38,12,20,1,17
01-01-2019 15:00:00,37,20,21,0,25
01-01-2019 16:00:00,46,11,21,0,12
01-01-2019 17:00:00,39,11,16,4,16
01-01-2019 18:00:00,45,4,28,1,12
01-01-2019 19:00:00,51,3,16,4,10
01-01-2019 20:00:00,33,9,20,2,12
01-01-2019 21:00:00,20,2,17,4,9
01-01-2019 22:00:00,19,5,9,2,4
01-01-2019 23:00:00,23,3,17,2,3
02-01-2019 00:00:00,10,1,9,0,2
02-01-2019 01:00:00,3,1,1,0,1
02-01-2019 02:00:00,3,0,2,0,1
02-01-2019 03:00:00,4,2,0,0,1
02-01-2019 04:00:00,10,7,6,1,2
02-01-2019 05:00:00,25,13,2,0,17
02-01-2019 06:00:00,84,55,12,2,76
02-01-2019 07:00:00,233,152,39,5,96
02-01-2019 08:00:00,538,356,40,18,172
02-01-2019 09:00:00,207,149,24,7,86
02-01-2019 10:00:00,57,42,22,4,36
02-01-2019 11:00:00,70,31,23,2,20
02-01-2019 12:00:00,52,35,25,1,32
02-01-2019 13:00:00,66,42,43,2,27
02-01-2019 14:00:00,71,41,38,6,32
02-01-2019 15:00:00,86,23,76,2,27
02-01-2019 16:00:00,188,45,162,7,53
02-01-2019 17:00:00,386,62,322,4,113
02-01-2019 18:00:00,270,16,187,7,88
02-01-2019 19:00:00,109,2,79,6,36
02-01-2019 20:00:00,81,3,37,2,20
02-01-2019 21:00:00,56,4,35,4,13
02-01-2019 22:00:00,34,5,34,2,11
02-01-2019 23:00:00,18,4,24,0,7
03-01-2019 00:00:00,9,1,7,1,4
03-01-2019 01:00:00,6,1,7,0,0
03-01-2019 02:00:00,4,0,4,0,2
03-01-2019 03:00:00,6,1,5,0,2
03-01-2019 04:00:00,14,4,5,0,2
03-01-2019 05:00:00,23,24,3,0,23
03-01-2019 06:00:00,89,79,12,4,88
03-01-2019 07:00:00,281,146,48,6,109
03-01-2019 08:00:00,639,428,56,20,194
03-01-2019 09:00:00,290,193,27,5,109
03-01-2019 10:00:00,77,42,14,4,38
